Country,Happiness_score,GDP_pc,Life_expectancy,Freedom,Generosity,Trust
Norway,7.537000179,1.616463184,0.796666503,0.635422587,0.362012237,0.315963835
Denmark,7.521999836,1.482383013,0.792565525,0.626006722,0.355280489,0.400770068
Iceland,7.504000187,1.48063302,0.833552122,0.627162635,0.475540221,0.153526559
Switzerland,7.493999958,1.564979553,0.858131289,0.620070577,0.290549278,0.367007285
Finland,7.468999863,1.443571925,0.80915767,0.617950857,0.245482773,0.382611543
Netherlands,7.376999855,1.503944635,0.810696125,0.585384488,0.47048983,0.282661825
Canada,7.315999985,1.479204416,0.834557652,0.611100912,0.435539722,0.287371516
New Zealand,7.31400013,1.405706048,0.816759706,0.61406213,0.500005126,0.382816702
Sweden,7.28399992,1.494387269,0.830875158,0.612924099,0.385399252,0.384398729
Australia,7.28399992,1.484414935,0.843886793,0.601607382,0.47769925,0.30118373
Israel,7.212999821,1.375382423,0.838404,0.405988604,0.330082655,0.0852421
Costa Rica,7.078999996,1.109706283,0.759509265,0.58013165,0.214613229,0.100106589
Austria,7.006000042,1.487097263,0.815328419,0.56776619,0.316472322,0.221060365
United States,6.993000031,1.546259284,0.774286628,0.505740523,0.392578781,0.135638788
Ireland,6.977000237,1.535706639,0.809782624,0.573110342,0.427858323,0.298388153
Germany,6.951000214,1.487923384,0.798950732,0.562511384,0.33626917,0.276731938
Belgium,6.890999794,1.463780761,0.818091869,0.539770722,0.231503338,0.251343131
Luxembourg,6.862999916,1.741943598,0.845089495,0.596627891,0.283180982,0.318834424
United Kingdom,6.714000225,1.44163394,0.805335939,0.508190036,0.492774159,0.265428066
Chile,6.65199995,1.25278461,0.819479704,0.376895279,0.326662421,0.082287982
United Arab Emirates,6.647999763,1.626343369,0.726798236,0.60834527,0.360941947,0.324489564
Brazil,6.635000229,1.10735321,0.616552353,0.437453747,0.162349895,0.111092761
Czech Republic,6.609000206,1.352682352,0.754444003,0.490946174,0.088106759,0.036872927
Argentina,6.598999977,1.185295463,0.695137084,0.494519204,0.109457061,0.059739888
Mexico,6.578000069,1.153183818,0.709978998,0.412730008,0.120990433,0.132774115
Singapore,6.572000027,1.69227767,0.949492395,0.549840569,0.345965981,0.464307785
Malta,6.52699995,1.343279839,0.821944237,0.588767052,0.574730575,0.153066069
Uruguay,6.453999996,1.217559695,0.719216824,0.579392254,0.175096929,0.178061873
Guatemala,6.453999996,0.872001946,0.54023999,0.531310618,0.283488393,0.077223279
Panama,6.452000141,1.233748436,0.706156135,0.550026834,0.210556939,0.070983924
France,6.441999912,1.430923462,0.844465852,0.470222116,0.129762307,0.172502428
Thailand,6.423999786,1.127868772,0.647239029,0.580200732,0.57212311,0.031612735
Taiwan Province of China,6.421999931,1.433626533,0.793984234,0.361466587,0.258360475,0.063829236
Spain,6.402999878,1.384397864,0.8889606,0.40878123,0.190133572,0.070914097
Qatar,6.375,1.870765686,0.710098088,0.604130983,0.33047387,0.439299256
Colombia,6.356999874,1.070622325,0.595027924,0.477487415,0.149014473,0.046668742
Saudi Arabia,6.343999863,1.530623555,0.59014833,0.449750572,0.147616014,0.273432255
Trinidad and Tobago,6.168000221,1.361355901,0.519983292,0.518630743,0.325296462,0.008964816
Kuwait,6.105000019,1.632952452,0.632105708,0.496337593,0.228289798,0.21515955
Slovakia,6.09800005,1.325393558,0.712732911,0.295817465,0.136544481,0.024210852
Bahrain,6.086999893,1.488412261,0.653133035,0.536746919,0.172668487,0.25704217
Malaysia,6.084000111,1.29121542,0.618784428,0.402264982,0.41660893,0.065600708
Nicaragua,6.071000099,0.737299204,0.653095961,0.447551847,0.301674217,0.130687982
Ecuador,6.007999897,1.000820398,0.685636222,0.455198199,0.150112465,0.140134647
El Salvador,6.002999783,0.909784496,0.596018553,0.43245253,0.078257985,0.08998096
Poland,5.97300005,1.291787863,0.699475348,0.520342112,0.158465967,0.059307806
Uzbekistan,5.971000195,0.786441088,0.498272628,0.658248663,0.415983647,0.246528223
Italy,5.964000225,1.395066619,0.853144348,0.256450713,0.172789648,0.028028091
Russia,5.962999821,1.281778097,0.547349334,0.373783112,0.052263822,0.032962881
Belize,5.955999851,0.907975316,0.450191766,0.547509372,0.240015641,0.096581072
Japan,5.920000076,1.416915178,0.913475871,0.505625546,0.120572768,0.163760737
Lithuania,5.90199995,1.314582348,0.62894994,0.234231785,0.010164657,0.011865643
Algeria,5.872000217,1.091864467,0.617584646,0.233335808,0.069436647,0.14609611
Latvia,5.849999905,1.260748625,0.638566971,0.325707912,0.153074786,0.073842727
South Korea,5.837999821,1.401678443,0.900214076,0.257921666,0.206674367,0.063282669
Moldova,5.837999821,0.72887063,0.589465201,0.240729049,0.208779126,0.010091286
Romania,5.824999809,1.217683911,0.685158312,0.457003742,0.133519918,0.004387901
Bolivia,5.822999954,0.833756566,0.47363025,0.558732927,0.225560725,0.060477726
Turkmenistan,5.822000027,1.130776763,0.43772608,0.418271929,0.249924988,0.25927034
Kazakhstan,5.818999767,1.28455627,0.606041551,0.437454283,0.201964423,0.119282886
North Cyprus,5.809999943,1.346911311,0.834647238,0.471203625,0.266845703,0.155353352
Slovenia,5.757999897,1.341205955,0.790828228,0.572575808,0.242649093,0.045128979
Peru,5.715000153,1.035225272,0.630166113,0.450002879,0.126819715,0.047049087
Mauritius,5.629000187,1.189395547,0.638007462,0.491247326,0.360933751,0.042181555
Cyprus,5.620999813,1.355938077,0.844714701,0.355111539,0.271254301,0.041237976
Estonia,5.611000061,1.32087934,0.695168316,0.47913143,0.098890811,0.183248922
Belarus,5.568999767,1.15655756,0.637714267,0.295400262,0.155137509,0.156313822
Libya,5.525000095,1.101803064,0.52016902,0.46573323,0.152073666,0.09261021
Turkey,5.5,1.198274374,0.637605608,0.3007406,0.046693042,0.09967158
